,c1w1,c1w2,c1w3,c1w4,c1w5,c2w1,c2w2,c2w3,c2w4,c2w5,c3w1,c3w2,c3w3,c3w4,c3w5,c4w1,c4w2,c4w3,c4w4,c4w5
c1w1,0.20083333333333334,0.4971875,0.25135416666666666,0.050625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
c1w2,0.20083333333333334,0.4971875,0.25135416666666666,0.050625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
c1w3,0.20083333333333334,0.4971875,0.25135416666666666,0.050625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
c1w4,0.20083333333333334,0.4971875,0.25135416666666666,0.050625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
c1w5,0.20083333333333334,0.4971875,0.25135416666666666,0.050625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
c2w1,0.0,0.0,0.0,0.0,0.0,0.048541666666666664,0.25066666666666665,0.551375,0.10054166666666667,0.048875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
c2w2,0.0,0.0,0.0,0.0,0.0,0.048541666666666664,0.25066666666666665,0.551375,0.10054166666666667,0.048875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
c2w3,0.0,0.0,0.0,0.0,0.0,0.048541666666666664,0.25066666666666665,0.551375,0.10054166666666667,0.048875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
c2w4,0.0,0.0,0.0,0.0,0.0,0.048541666666666664,0.25066666666666665,0.551375,0.10054166666666667,0.048875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
c2w5,0.0,0.0,0.0,0.0,0.0,0.048541666666666664,0.25066666666666665,0.551375,0.10054166666666667,0.048875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
c3w1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20291666666666666,0.19375,0.20291666666666666,0.20083333333333334,0.19958333333333333,0.0,0.0,0.0,0.0,0.0
c3w2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20291666666666666,0.19375,0.20291666666666666,0.20083333333333334,0.19958333333333333,0.0,0.0,0.0,0.0,0.0
c3w3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20291666666666666,0.19375,0.20291666666666666,0.20083333333333334,0.19958333333333333,0.0,0.0,0.0,0.0,0.0
c3w4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20291666666666666,0.19375,0.20291666666666666,0.20083333333333334,0.19958333333333333,0.0,0.0,0.0,0.0,0.0
c3w5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20291666666666666,0.19375,0.20291666666666666,0.20083333333333334,0.19958333333333333,0.0,0.0,0.0,0.0,0.0
c4w1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.046875,0.19270833333333334,0.4479166666666667,0.3125
c4w2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.046875,0.19270833333333334,0.4479166666666667,0.3125
c4w3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.046875,0.19270833333333334,0.4479166666666667,0.3125
c4w4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.046875,0.19270833333333334,0.4479166666666667,0.3125
c4w5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.046875,0.19270833333333334,0.4479166666666667,0.3125
