,c1w1,c1w2,c1w3,c1w4,c1w5,c2w1,c2w2,c2w3,c2w4,c2w5,c3w1,c3w2,c3w3,c3w4,c3w5,c4w1,c4w2,c4w3,c4w4,c4w5
c1w1,0.19704166666666667,0.5023333333333333,0.24983333333333332,0.050791666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
c1w2,0.19704166666666667,0.5023333333333333,0.24983333333333332,0.050791666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
c1w3,0.19704166666666667,0.5023333333333333,0.24983333333333332,0.050791666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
c1w4,0.19704166666666667,0.5023333333333333,0.24983333333333332,0.050791666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
c1w5,0.19704166666666667,0.5023333333333333,0.24983333333333332,0.050791666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
c2w1,0.0,0.0,0.0,0.0,0.0,0.052458333333333336,0.25154166666666666,0.5446666666666666,0.101375,0.049958333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
c2w2,0.0,0.0,0.0,0.0,0.0,0.052458333333333336,0.25154166666666666,0.5446666666666666,0.101375,0.049958333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
c2w3,0.0,0.0,0.0,0.0,0.0,0.052458333333333336,0.25154166666666666,0.5446666666666666,0.101375,0.049958333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
c2w4,0.0,0.0,0.0,0.0,0.0,0.052458333333333336,0.25154166666666666,0.5446666666666666,0.101375,0.049958333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
c2w5,0.0,0.0,0.0,0.0,0.0,0.052458333333333336,0.25154166666666666,0.5446666666666666,0.101375,0.049958333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
c3w1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19925,0.20266666666666666,0.19833333333333333,0.201,0.19875,0.0,0.0,0.0,0.0,0.0
c3w2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19925,0.20266666666666666,0.19833333333333333,0.201,0.19875,0.0,0.0,0.0,0.0,0.0
c3w3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19925,0.20266666666666666,0.19833333333333333,0.201,0.19875,0.0,0.0,0.0,0.0,0.0
c3w4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19925,0.20266666666666666,0.19833333333333333,0.201,0.19875,0.0,0.0,0.0,0.0,0.0
c3w5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19925,0.20266666666666666,0.19833333333333333,0.201,0.19875,0.0,0.0,0.0,0.0,0.0
c4w1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.049916666666666665,0.19854166666666667,0.44658333333333333,0.30495833333333333
c4w2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.049916666666666665,0.19854166666666667,0.44658333333333333,0.30495833333333333
c4w3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.049916666666666665,0.19854166666666667,0.44658333333333333,0.30495833333333333
c4w4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.049916666666666665,0.19854166666666667,0.44658333333333333,0.30495833333333333
c4w5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.049916666666666665,0.19854166666666667,0.44658333333333333,0.30495833333333333
