site,label,scenario,year,variable,value
EP,Equally Probable,Perfect Information,1,crop_yield,2.8630572462880504
EP,Equally Probable,Perfect Information,2,crop_yield,2.8687463684307293
EP,Equally Probable,Perfect Information,3,crop_yield,2.8545841067342397
EP,Equally Probable,Perfect Information,4,crop_yield,2.8517611271602314
EP,Equally Probable,Perfect Information,5,crop_yield,2.8845149997030832
EP,Equally Probable,Perfect Information,6,crop_yield,2.851494171011356
EP,Equally Probable,Perfect Information,7,crop_yield,2.8936874459837187
EP,Equally Probable,Perfect Information,8,crop_yield,2.875296344078603
EP,Equally Probable,Perfect Information,9,crop_yield,2.8541340579762657
EP,Equally Probable,Perfect Information,10,crop_yield,2.8681119391993515
EP,Equally Probable,Perfect Information,11,crop_yield,2.857884832054561
EP,Equally Probable,Perfect Information,12,crop_yield,2.867371638249024
EP,Equally Probable,Perfect Information,13,crop_yield,2.8678117975407638
EP,Equally Probable,Perfect Information,14,crop_yield,2.8489631271790112
EP,Equally Probable,Perfect Information,15,crop_yield,2.883528028576775
EP,Equally Probable,Perfect Information,16,crop_yield,2.86689464086989
EP,Equally Probable,Perfect Information,17,crop_yield,2.8600647857301627
EP,Equally Probable,Perfect Information,18,crop_yield,2.884430666847903
EP,Equally Probable,Perfect Information,19,crop_yield,2.86289988314106
EP,Equally Probable,Perfect Information,20,crop_yield,2.867533649162781
EP,Equally Probable,Perfect Information,21,crop_yield,2.8536227948433903
EP,Equally Probable,Perfect Information,22,crop_yield,2.869343332996291
EP,Equally Probable,Perfect Information,23,crop_yield,2.8569131056711528
EP,Equally Probable,Perfect Information,24,crop_yield,2.8876238717772007
EP,Equally Probable,Perfect Information,25,crop_yield,2.854229365896174
EP,Equally Probable,Perfect Information,1,water,57.016207526295176
EP,Equally Probable,Perfect Information,2,water,57.00510084241126
EP,Equally Probable,Perfect Information,3,water,56.86983485992529
EP,Equally Probable,Perfect Information,4,water,56.680765289709825
EP,Equally Probable,Perfect Information,5,water,57.235117971972066
EP,Equally Probable,Perfect Information,6,water,56.717702536912434
EP,Equally Probable,Perfect Information,7,water,57.50571208479222
EP,Equally Probable,Perfect Information,8,water,57.20090249728075
EP,Equally Probable,Perfect Information,9,water,56.77445692694993
EP,Equally Probable,Perfect Information,10,water,56.98961860394605
EP,Equally Probable,Perfect Information,11,water,56.91821105604243
EP,Equally Probable,Perfect Information,12,water,57.02049371022641
EP,Equally Probable,Perfect Information,13,water,57.06223674951828
EP,Equally Probable,Perfect Information,14,water,56.72724032914333
EP,Equally Probable,Perfect Information,15,water,57.23124114782918
EP,Equally Probable,Perfect Information,16,water,56.95829212161208
EP,Equally Probable,Perfect Information,17,water,56.934148104047004
EP,Equally Probable,Perfect Information,18,water,57.22928259314149
EP,Equally Probable,Perfect Information,19,water,56.98564512426972
EP,Equally Probable,Perfect Information,20,water,57.067146009361565
EP,Equally Probable,Perfect Information,21,water,56.74111135383419
EP,Equally Probable,Perfect Information,22,water,57.056086599858936
EP,Equally Probable,Perfect Information,23,water,56.89899214159597
EP,Equally Probable,Perfect Information,24,water,57.20392077924851
EP,Equally Probable,Perfect Information,25,water,56.77932163341344
EP,Equally Probable,Perfect Information,1,elc,253730.71304312447
EP,Equally Probable,Perfect Information,2,elc,253332.07430938084
EP,Equally Probable,Perfect Information,3,elc,253253.5028892546
EP,Equally Probable,Perfect Information,4,elc,253638.38513064923
EP,Equally Probable,Perfect Information,5,elc,253448.30253365252
EP,Equally Probable,Perfect Information,6,elc,253685.28823559437
EP,Equally Probable,Perfect Information,7,elc,253328.4683918882
EP,Equally Probable,Perfect Information,8,elc,253262.26697504893
EP,Equally Probable,Perfect Information,9,elc,253340.69866220205
EP,Equally Probable,Perfect Information,10,elc,253493.89514006925
EP,Equally Probable,Perfect Information,11,elc,253488.0711246992
EP,Equally Probable,Perfect Information,12,elc,253391.1456977131
EP,Equally Probable,Perfect Information,13,elc,253593.2030631022
EP,Equally Probable,Perfect Information,14,elc,253152.70486948235
EP,Equally Probable,Perfect Information,15,elc,253341.59933454578
EP,Equally Probable,Perfect Information,16,elc,253329.26605188427
EP,Equally Probable,Perfect Information,17,elc,253415.98700478417
EP,Equally Probable,Perfect Information,18,elc,253203.6461058003
EP,Equally Probable,Perfect Information,19,elc,253538.678753754
EP,Equally Probable,Perfect Information,20,elc,253617.0791959011
EP,Equally Probable,Perfect Information,21,elc,253583.989009008
EP,Equally Probable,Perfect Information,22,elc,253225.13150391378
EP,Equally Probable,Perfect Information,23,elc,253610.12133157975
EP,Equally Probable,Perfect Information,24,elc,253096.6234927322
EP,Equally Probable,Perfect Information,25,elc,253463.41867507037
EP,Equally Probable,Perfect Information,1,irrigation,3.105218568327762
EP,Equally Probable,Perfect Information,2,irrigation,3.1011244036168626
EP,Equally Probable,Perfect Information,3,irrigation,3.125574452655428
EP,Equally Probable,Perfect Information,4,irrigation,3.1899190050791604
EP,Equally Probable,Perfect Information,5,irrigation,3.098490381235609
EP,Equally Probable,Perfect Information,6,irrigation,3.201696621551763
EP,Equally Probable,Perfect Information,7,irrigation,2.9889454061296155
EP,Equally Probable,Perfect Information,8,irrigation,3.123242970357241
EP,Equally Probable,Perfect Information,9,irrigation,3.2161354852952564
EP,Equally Probable,Perfect Information,10,irrigation,3.146236917411137
EP,Equally Probable,Perfect Information,11,irrigation,3.148844003552931
EP,Equally Probable,Perfect Information,12,irrigation,3.0868500402883003
EP,Equally Probable,Perfect Information,13,irrigation,3.1250648968424573
EP,Equally Probable,Perfect Information,14,irrigation,3.199226138404594
EP,Equally Probable,Perfect Information,15,irrigation,3.100645595204778
EP,Equally Probable,Perfect Information,16,irrigation,3.1358276878985873
EP,Equally Probable,Perfect Information,17,irrigation,3.1335845292609967
EP,Equally Probable,Perfect Information,18,irrigation,3.1033948691067303
EP,Equally Probable,Perfect Information,19,irrigation,3.1073239220384075
EP,Equally Probable,Perfect Information,20,irrigation,3.1045920845927975
EP,Equally Probable,Perfect Information,21,irrigation,3.1868562672252674
EP,Equally Probable,Perfect Information,22,irrigation,3.1150671589610193
EP,Equally Probable,Perfect Information,23,irrigation,3.1334151294407246
EP,Equally Probable,Perfect Information,24,irrigation,3.12413076604507
EP,Equally Probable,Perfect Information,25,irrigation,3.1838694434597468
EP,Equally Probable,Perfect Information,1,alt_water,6.446310878303541
EP,Equally Probable,Perfect Information,2,alt_water,6.451348276819261
EP,Equally Probable,Perfect Information,3,alt_water,6.466870833262143
EP,Equally Probable,Perfect Information,4,alt_water,6.47865771561472
EP,Equally Probable,Perfect Information,5,alt_water,6.425959334366266
EP,Equally Probable,Perfect Information,6,alt_water,6.477673007385761
EP,Equally Probable,Perfect Information,7,alt_water,6.4323055201107415
EP,Equally Probable,Perfect Information,8,alt_water,6.444286944971086
EP,Equally Probable,Perfect Information,9,alt_water,6.42295140606554
EP,Equally Probable,Perfect Information,10,alt_water,6.4272609815231805
EP,Equally Probable,Perfect Information,11,alt_water,6.438183694092164
EP,Equally Probable,Perfect Information,12,alt_water,6.460380084588472
EP,Equally Probable,Perfect Information,13,alt_water,6.426307252086654
EP,Equally Probable,Perfect Information,14,alt_water,6.45702528617645
EP,Equally Probable,Perfect Information,15,alt_water,6.432970811539897
EP,Equally Probable,Perfect Information,16,alt_water,6.45372083135985
EP,Equally Probable,Perfect Information,17,alt_water,6.4801173463392026
EP,Equally Probable,Perfect Information,18,alt_water,6.411777698101471
EP,Equally Probable,Perfect Information,19,alt_water,6.425855229649896
EP,Equally Probable,Perfect Information,20,alt_water,6.42668507171982
EP,Equally Probable,Perfect Information,21,alt_water,6.475145236460242
EP,Equally Probable,Perfect Information,22,alt_water,6.425858489156347
EP,Equally Probable,Perfect Information,23,alt_water,6.444458228571875
EP,Equally Probable,Perfect Information,24,alt_water,6.431002731049683
EP,Equally Probable,Perfect Information,25,alt_water,6.438473185962092
EP,Equally Probable,"Known Climate, Unknown Weather",1,crop_yield,2.8333113876167166
EP,Equally Probable,"Known Climate, Unknown Weather",2,crop_yield,2.838079929635703
EP,Equally Probable,"Known Climate, Unknown Weather",3,crop_yield,2.822891705497059
EP,Equally Probable,"Known Climate, Unknown Weather",4,crop_yield,2.8162928594393657
EP,Equally Probable,"Known Climate, Unknown Weather",5,crop_yield,2.8548806550137487
EP,Equally Probable,"Known Climate, Unknown Weather",6,crop_yield,2.8181753897773394
EP,Equally Probable,"Known Climate, Unknown Weather",7,crop_yield,2.863734460881742
EP,Equally Probable,"Known Climate, Unknown Weather",8,crop_yield,2.845980372905708
EP,Equally Probable,"Known Climate, Unknown Weather",9,crop_yield,2.8231396106331887
EP,Equally Probable,"Known Climate, Unknown Weather",10,crop_yield,2.8384970620986842
EP,Equally Probable,"Known Climate, Unknown Weather",11,crop_yield,2.8280691335525
EP,Equally Probable,"Known Climate, Unknown Weather",12,crop_yield,2.8409436609375196
EP,Equally Probable,"Known Climate, Unknown Weather",13,crop_yield,2.8377377022617694
EP,Equally Probable,"Known Climate, Unknown Weather",14,crop_yield,2.8171850879408313
EP,Equally Probable,"Known Climate, Unknown Weather",15,crop_yield,2.854489630608526
EP,Equally Probable,"Known Climate, Unknown Weather",16,crop_yield,2.835992646123433
EP,Equally Probable,"Known Climate, Unknown Weather",17,crop_yield,2.8276766065855714
EP,Equally Probable,"Known Climate, Unknown Weather",18,crop_yield,2.855816844263928
