"","run","year","precip"
"1",1,"1",26.67
"2",1,"2",26.67
"3",1,"3",8.89
"4",1,"4",80.01
"5",1,"5",26.67
"6",1,"6",26.67
"7",1,"7",8.89
"8",1,"8",53.34
"9",1,"9",26.67
"10",1,"10",80.01
"11",1,"11",26.67
"12",1,"12",8.89
"13",1,"13",53.34
"14",1,"14",26.67
"15",1,"15",8.89
"16",1,"16",53.34
"17",1,"17",8.89
"18",1,"18",26.67
"19",1,"19",53.34
"20",1,"20",53.34
"21",1,"21",53.34
"22",1,"22",26.67
"23",1,"23",53.34
"24",1,"24",26.67
"25",1,"25",26.67
"26",2,"1",53.34
"27",2,"2",26.67
"28",2,"3",53.34
"29",2,"4",53.34
"30",2,"5",26.67
"31",2,"6",26.67
"32",2,"7",53.34
"33",2,"8",8.89
"34",2,"9",8.89
"35",2,"10",26.67
"36",2,"11",53.34
"37",2,"12",53.34
"38",2,"13",53.34
"39",2,"14",53.34
"40",2,"15",26.67
"41",2,"16",26.67
"42",2,"17",26.67
"43",2,"18",26.67
"44",2,"19",53.34
"45",2,"20",53.34
"46",2,"21",26.67
"47",2,"22",26.67
"48",2,"23",8.89
"49",2,"24",26.67
"50",2,"25",26.67
"51",3,"1",8.89
"52",3,"2",8.89
"53",3,"3",8.89
"54",3,"4",80.01
"55",3,"5",8.89
"56",3,"6",26.67
"57",3,"7",8.89
"58",3,"8",26.67
"59",3,"9",8.89
"60",3,"10",53.34
"61",3,"11",80.01
"62",3,"12",8.89
"63",3,"13",26.67
"64",3,"14",8.89
"65",3,"15",26.67
"66",3,"16",26.67
"67",3,"17",26.67
"68",3,"18",26.67
"69",3,"19",53.34
"70",3,"20",26.67
"71",3,"21",80.01
"72",3,"22",26.67
"73",3,"23",8.89
"74",3,"24",53.34
"75",3,"25",26.67
"76",4,"1",26.67
"77",4,"2",53.34
"78",4,"3",8.89
"79",4,"4",26.67
"80",4,"5",53.34
"81",4,"6",26.67
"82",4,"7",53.34
"83",4,"8",8.89
"84",4,"9",26.67
"85",4,"10",53.34
"86",4,"11",26.67
"87",4,"12",8.89
"88",4,"13",26.67
"89",4,"14",26.67
"90",4,"15",26.67
"91",4,"16",26.67
"92",4,"17",26.67
"93",4,"18",26.67
"94",4,"19",26.67
"95",4,"20",8.89
"96",4,"21",26.67
"97",4,"22",8.89
"98",4,"23",26.67
"99",4,"24",80.01
"100",4,"25",26.67
"101",5,"1",53.34
"102",5,"2",26.67
"103",5,"3",26.67
"104",5,"4",26.67
"105",5,"5",26.67
"106",5,"6",26.67
"107",5,"7",8.89
"108",5,"8",8.89
"109",5,"9",26.67
"110",5,"10",8.89
"111",5,"11",8.89
"112",5,"12",26.67
"113",5,"13",26.67
"114",5,"14",26.67
"115",5,"15",26.67
"116",5,"16",26.67
"117",5,"17",53.34
"118",5,"18",53.34
"119",5,"19",53.34
"120",5,"20",26.67
"121",5,"21",26.67
"122",5,"22",26.67
"123",5,"23",26.67
"124",5,"24",26.67
"125",5,"25",26.67
"126",6,"1",26.67
"127",6,"2",26.67
"128",6,"3",26.67
"129",6,"4",26.67
"130",6,"5",26.67
"131",6,"6",8.89
"132",6,"7",53.34
"133",6,"8",26.67
"134",6,"9",8.89
"135",6,"10",26.67
"136",6,"11",26.67
"137",6,"12",26.67
"138",6,"13",26.67
"139",6,"14",53.34
"140",6,"15",8.89
"141",6,"16",53.34
"142",6,"17",26.67
"143",6,"18",26.67
"144",6,"19",26.67
"145",6,"20",26.67
"146",6,"21",26.67
"147",6,"22",26.67
"148",6,"23",8.89
"149",6,"24",26.67
"150",6,"25",26.67
"151",7,"1",53.34
"152",7,"2",26.67
"153",7,"3",53.34
"154",7,"4",26.67
"155",7,"5",26.67
"156",7,"6",8.89
"157",7,"7",53.34
"158",7,"8",53.34
"159",7,"9",26.67
"160",7,"10",53.34
"161",7,"11",26.67
"162",7,"12",8.89
"163",7,"13",26.67
"164",7,"14",26.67
"165",7,"15",26.67
"166",7,"16",26.67
"167",7,"17",53.34
"168",7,"18",26.67
"169",7,"19",26.67
"170",7,"20",8.89
"171",7,"21",26.67
"172",7,"22",8.89
"173",7,"23",26.67
"174",7,"24",53.34
"175",7,"25",80.01
"176",8,"1",26.67
"177",8,"2",26.67
"178",8,"3",8.89
"179",8,"4",80.01
"180",8,"5",26.67
"181",8,"6",8.89
"182",8,"7",8.89
"183",8,"8",8.89
"184",8,"9",8.89
"185",8,"10",26.67
"186",8,"11",80.01
"187",8,"12",53.34
"188",8,"13",53.34
"189",8,"14",53.34
"190",8,"15",26.67
"191",8,"16",80.01
